dc,dinve ,dy ,labobs,pinfobs,dw,robs
-0.141180689,-1.611505954,-0.666450872,1.130680933,1.395976769,0.400225043,2.245
-0.349950168,-1.851591917,-0.374838502,0.060537663,1.386026808,0.196811969,2.025
0.452545546,0.072947995,0.347178483,-0.580488949,0.816971611,0.806280952,1.8025
-0.873948413,-0.761700431,-1.653037953,-0.476008144,1.31520756,-0.319932928,1.55
0.754074649,1.650963944,2.096634267,0.256836718,1.503923163,0.536313369,1.035
0.186650761,3.208644282,-0.014297043,0.522561925,1.305350862,0.151327726,1.04
0.200253383,1.293820446,0.264417317,0.496315361,1.013811321,0.345282958,1.3275
0.860544137,2.099723714,-0.335032635,0.752050823,0.830565947,-0.142647618,1.3
-0.272368477,2.775943064,0.702059064,0.310224003,1.508570567,1.233797299,0.8775
1.318808028,1.240557651,1.722417179,1.43449118,0.620855881,0.535993037,1.0425
0.894040114,0.596615002,0.382555581,1.669486577,0.953513258,0.371009417,1.1375
1.384227933,3.941654334,1.174547223,1.855087961,1.264281543,0.597969667,1.2625
1.365611376,3.199729218,1.941079917,1.908043025,1.146073475,1.452566886,1.485
-0.167577841,0.491149194,0.576923893,1.490132297,1.525442967,-0.145258322,1.78
-0.298513915,-0.641114219,-1.054370265,1.518991987,1.931094491,-0.213791792,2.6
-0.745728465,-1.972423766,0.43866294,0.543480701,1.972187581,0.025423391,2.5025
-0.353587189,-2.399282997,-1.384498221,-2.284386196,1.869285198,0.38515493,2.4125
0.330152014,-1.218719471,-0.248800045,-3.573445834,2.335058829,0.252276366,2.6275
-0.314656198,-1.323314057,-1.463441333,-3.551177696,2.887585286,0.036563591,3.23
-2.375758556,-5.128730638,-0.894113555,-4.178287827,2.897927024,-0.169203855,2.515
-0.054363318,-5.286276609,-1.717549544,-4.313851811,2.247675955,0.742144342,1.7825
0.912290563,-0.795068046,0.259657766,-3.73722936,1.47650714,0.636967732,1.3725
0.944209256,1.250095876,1.130694557,-3.353117062,1.751487533,-0.007176262,1.525
0.572395185,1.270290999,0.834595516,-3.13005875,1.659200565,-0.042594134,1.455
1.531691889,3.419374278,1.724713132,-2.564813141,1.05111692,0.849599879,1.2175
0.316009562,1.923452909,0.295429129,-2.214325365,1.001731598,0.863530797,1.205
0.795508851,0.755470883,0.068059322,-1.990409558,1.28331406,0.794211768,1.3275
0.622591058,3.952670318,0.2644822,-1.618490461,1.778117312,0.332457709,1.255
0.919477075,3.421294394,0.732840687,-0.772522472,1.597271169,0.27277885,1.1525
0.403104515,5.084029757,1.493258155,0.033742029,1.400366135,0.61418874,1.1825
0.711410115,1.734772453,1.275603995,0.030656266,1.208319926,0.719093335,1.355
0.307219652,1.225930928,-0.455351872,0.502813251,2.137684043,-0.423503952,1.6175
0.300548696,0.882680519,-0.119367492,0.1674298,1.445208118,1.17430658,1.675
1.851448185,6.353865062,3.390084281,0.839939433,1.894076931,-0.198473106,1.7225
0.002576192,2.454919458,0.523533721,1.117118714,1.681464211,0.209302016,1.9525
0.189500497,1.674875392,0.874006028,0.938203343,2.02681807,0.432729741,2.24
0.132677088,0.71537893,-0.269656073,0.511295893,1.8051518,0.73698286,2.5175
-0.181768881,-0.855948481,-0.287427314,-1.100806767,2.421579118,-0.153852251,2.5025
0.770969179,1.481186374,0.249136363,-1.720690786,2.160490335,0.03306551,2.6175
0.293464887,-1.262005041,-0.259937949,-1.743431535,1.839736514,0.66845378,3.4425
0.296942889,-1.533726171,-0.125863644,-2.083944693,2.079097576,0.696784633,3.455
-2.60025728,-9.015740586,-2.473317981,-2.215565063,2.351053514,0.331470795,4.4025
0.756123738,0.692656393,-0.557555562,-3.198480704,2.210388133,0.308892803,2.2575
0.876902197,2.902304036,1.508307269,-3.370138726,2.572191583,0.04943628,3.2025
-0.057224744,0.556713544,1.584444131,-4.297545304,2.598953939,-0.11581087,4.77
-0.608404729,0.689793516,-1.060876047,-5.134380743,1.963115358,-0.250843066,3.93
-0.125301043,-0.52697896,0.834410565,-5.984571219,1.863233411,0.362023972,4.76
-1.21216278,-0.372380904,-1.425695636,-6.531593443,1.713435904,-0.073176319,3.77
0.316302251,-3.108465286,-1.873211558,-7.834920886,1.367363976,1.252567771,3.305
-0.330574846,-3.575373469,0.158522669,-7.049301966,1.291538481,-0.5162681,3.735
0.520782173,-3.504761581,-0.685175026,-5.717476601,1.408559998,0.148709229,3.1475
1.501671112,-1.005126142,-0.259559385,-5.298292885,1.029548013,0.443438843,2.4275
0.778400353,0.911850115,1.036014507,-4.072605718,0.751366252,0.246628024,2.17
1.929954232,2.421288402,1.996612275,-3.002194173,0.741821152,0.210765458,2.2
1.733286862,4.130949851,1.685176812,-1.523003504,1.056696463,-0.527774494,2.3425
1.215322657,4.613685525,1.79375963,-1.545095667,0.755746955,0.384142023,2.37
0.469005604,1.865567687,1.50543597,-1.010335612,1.007162581,0.122760206,2.39
1.259511034,3.219718272,1.464957684,-0.51490373,0.850939063,0.195110568,2.5725
0.356609114,1.212801851,0.69214298,-1.279327045,0.885195869,0.57237023,2.8075
0.865528147,1.05803533,0.525482552,-0.718226374,0.744809034,0.055553441,2.4975
1.630182358,0.026465242,0.722830906,0.045893444,0.983910254,0.287346117,2.0875
0.845209836,0.594964377,0.642930389,-0.019934972,0.642021244,0.308423468,2.0675
1.801333045,-0.804903549,1.254949222,0.305600159,0.601373233,0.870713965,1.97
0.070891205,1.678976827,0.45657073,0.281152266,0.557795063,1.315646462,1.9975
0.580444871,-0.199485087,0.427017143,0.152420375,0.496836867,0.927159135,2.035
0.336996004,0.135883694,0.183676166,0.055859693,0.377321468,0.764927875,1.7475
1.573494767,-0.31643339,0.656458242,0.228239768,0.410006149,0.841223085,1.64
0.392321992,0.589463893,0.256994299,0.646584486,0.542288061,0.793686639,1.4625
0.047957434,-2.352863916,0.389102303,1.476043899,0.633408993,-0.191190186,1.6075
1.338110369,0.769819089,0.789131593,1.58638908,0.691090197,0.053995706,1.5925
1.026252064,0.956767956,0.567572415,1.595892197,0.752800221,0.266385874,1.645
0.044058934,-0.125273323,1.469799232,2.06420401,0.794014271,0.374792256,1.8225
1.478326301,-0.131124379,0.236950676,2.113782704,0.780876057,0.937593727,1.7075
0.641909402,1.383649467,1.082550327,2.480572092,0.969301854,0.229931961,1.7175
0.652676887,-0.483393756,0.3148131,2.348768847,1.187616137,0.043866086,1.9375
1.069215154,1.049717371,1.115504323,2.622370197,0.860260028,-0.112908709,2.075
0.282757707,0.122067282,0.725564105,3.775901698,1.038172191,-0.750441953,2.28
0.542655038,-0.488918835,0.555883879,3.457001007,1.058576218,-0.643404679,2.46
0.578648635,1.264307997,0.491707534,3.332145963,0.728223802,0.174140758,2.31
0.301776977,-1.668515964,-0.010988628,2.503046009,0.710065983,0.715649897,2.21
0.385603191,-0.110230933,0.265085289,0.909322197,1.072477997,0.850061837,2.0575
-0.09750179,-2.910841438,0.168718893,0.398924811,1.113148733,0.822626852,2.065
0.58758105,-1.285514569,-0.150460494,-0.543060137,0.854169243,0.458320206,2.0375
-0.467154282,-3.094991364,-1.190100028,-0.628286081,0.741459517,0.022250179,2.0275
-1.066958765,-3.182548981,-0.707466385,-0.989301881,0.974502511,-0.379856757,1.7275
0.450471056,-0.441764874,0.590710914,-0.949958056,0.73194214,1.164773778,1.4775
0.170040998,-0.785392456,0.279142269,-0.794795067,0.778107602,0.411166295,1.455
-0.208502808,-0.771917411,0.059810112,-1.195666379,0.591673047,0.730069885,1.3025
1.869376005,0.327585045,0.952207557,-1.134753837,0.371024497,2.199689063,1.0075
0.530526016,2.614243095,0.869796601,-0.771194625,0.599435248,0.334005985,0.9325
0.968706156,0.649262248,0.738176986,-0.243300771,0.487653544,0.644063599,0.8125
0.875589342,2.227248862,0.718529586,-0.107937943,0.685814947,-0.141853,0.775
0.149419217,0.253322259,-0.101613928,0.654934914,0.559641293,-1.30284084,0.755
0.757955709,1.3056688,0.355891688,1.018949526,0.592936178,0.152166806,0.74
0.699783842,0.907399834,0.227357475,1.208986126,0.592336227,-0.559983313,0.765
0.616131818,3.416476784,1.06294493,2.241769402,0.544228851,0.183791655,0.7475
0.758047262,0.988665384,0.705541419,2.292726822,0.476827422,-1.052739293,0.7625
0.640725075,1.636553066,1.13698513,2.951137246,0.481694434,0.34702391,0.89
0.651338169,0.434561653,0.330559303,2.60810038,0.5715845,-0.597967238,1.065
0.712816145,1.957866941,0.849371413,2.625146853,0.54154692,0.231962494,1.19
0.032481247,2.015175856,0.190599303,1.834596173,0.541435067,0.047811062,1.3825
0.775060625,-0.376717364,0.098316749,1.764059326,0.478516675,0.350964104,1.5125
0.583027847,0.966460361,0.61166198,2.82880207,0.491517799,0.049113517,1.4625
0.362803469,1.129226428,0.386650842,3.242900765,0.48082012,0.330143228,1.44
0.77026598,1.682423934,0.52452983,2.823200738,0.479895013,0.612853856,1.39
1.089858475,2.232706519,1.420472611,3.555685444,0.413232238,0.50559391,1.305
0.43278153,1.923200138,0.62351145,4.000974579,0.32690272,0.435042942,1.35
0.625794805,0.695401622,0.718547935,4.145312934,0.532513805,0.040877203,1.31
0.393725453,0.772077193,0.141946094,4.144419638,0.594526436,0.54944266,1.3125
0.305490372,1.567889101,1.456200115,4.226196849,0.20233365,0.711784313,1.3775
1.277716288,2.951655268,1.000560757,4.178761384,0.432965138,0.566760249,1.38
0.878427208,-0.011495336,0.559696799,4.24019119,0.32817877,1.465962882,1.375
0.636313927,2.164524495,0.763535042,4.871317433,0.146995964,1.528213138,1.39
1.449525542,2.660692433,0.680466874,4.404521871,0.234745023,1.029539868,1.3625
0.911207508,1.145936061,0.982056046,4.178231591,0.429382045,1.175275768,1.385
1.106375595,2.197393957,1.287599191,5.030515171,0.274210492,0.287920693,1.2675
0.509464236,1.158924722,0.551650846,6.1971429,0.31962412,1.441979688,1.1575
1.458082902,1.804258068,0.581747455,6.372594894,0.377738888,0.034484733,1.185
1.02532037,1.540801514,1.029094053,5.62608381,0.355375255,0.519632267,1.2475
1.192405274,-0.025373643,1.314762513,5.704008277,0.550886464,1.437280998,1.3
0.254838741,1.396007492,-1.030402426,4.693525585,0.661738499,2.810052251,1.3625
0.497182734,1.686003126,1.517028762,3.876387117,0.621408286,-0.373077089,1.505
0.702646208,-0.022390028,-0.210616224,3.24217867,0.584354838,1.350355097,1.635
0.552427628,-0.37786283,0.2508838,2.143459983,0.541571623,0.002160049,1.6275
0.222702349,-1.423720168,-0.550822215,0.953348619,0.653613656,1.584119921,1.495
-0.231371642,-1.771757261,0.322089737,0.602073156,0.602946057,-0.198764806,1.2
-0.298855214,-1.180126824,-0.706013105,0.050894262,0.392037025,-0.252135211,0.9425
0.994805043,-2.904715648,-0.058504006,-0.026527956,0.310782135,0.594525643,0.6225
-0.179138731,-1.566680017,0.545913441,0.02534174,0.322241786,0.138963775,0.4325
0.665864308,-0.589872257,0.382941752,0.331390837,0.345967472,0.520038905,0.4375
0.445409926,-0.995222061,0.115579691,-0.283730541,0.480381276,0.029989242,0.4325
0.121655416,-0.805737201,-0.195140286,-0.248049217,0.572447973,-0.316892876,0.4375
0.04481158,0.072788071,-0.195184651,-1.049648257,0.497303738,0.121387471,0.31
0.60212524,1.650148676,0.597427848,-1.212396894,0.344339131,1.380240878,0.315
1.170906309,2.342390015,1.330832127,-0.998481457,0.566848251,0.910221911,0.2525
0.206958976,1.500266859,0.792365541,-1.064545234,0.614082434,0.77137786,0.2525
0.936118819,-0.137962886,0.516351348,-0.559582153,0.704544155,-0.893447424,0.25
0.1461964,2.683695623,0.507807541,-0.610342691,0.800175226,1.114358227,0.25
0.720151178,2.010201197,0.638758232,-0.257866638,0.640026701,1.135164169,0.315
0.861584119,1.680655654,0.672793211,-0.229079467,0.770125879,-0.347453324,0.44
0.132646724,1.710154317,0.817470762,-0.326017387,0.793161866,-0.106453401,0.57
0.738836135,1.65840534,0.217145517,0,0.724928982,-0.127600607,0.6975
0.679765736,1.642069934,0.467224293,-0.076754428,0.905376678,0.338474316,0.815
-0.183054618,0.419988291,0.2105593,0.510837143,0.805857279,-0.188497799,0.945
0.641306694,1.836301511,1.078273183,0.849924229,0.70193883,1.266325271,1.0725
0.225046063,-1.082201247,-0.038205034,0.253362101,0.882773897,-0.801258166,1.1975
0.350224056,-1.124060417,-0.161616376,0.379583328,0.695354574,-0.537170862,1.31
0.077606081,-0.658083195,0.50741075,0.008482632,0.373358731,1.370905028,1.3125
0.146325406,-0.96083002,-0.130445684,-0.355921811,0.954024062,1.469598492,1.3125
0.179804836,-0.396514833,0.375311242,-0.650088057,0.666336327,-0.742168251,1.3125
0.406606651,-1.424159406,0.29610289,-1.522921185,0.517839613,-0.133696975,1.315
0.657302109,-1.729350522,0.281972381,-2.643417431,0.423065164,0.720587391,1.19
0.36673822,-1.651929344,-0.365711372,-4.479826665,0.350836269,0.603744018,0.985
0.490105147,-1.437344032,0.320778679,-5.963432121,0.505898781,-0.326499232,0.57
-0.748702363,-2.958331671,-0.813473049,-7.109177603,0.751445564,0.182736474,0.5025
-3.069490943,-6.451989756,-2.526612907,-9.01793511,0.236960696,0.758924817,0.2425
-0.937370623,-9.016748282,-1.226687628,-9.64801607,-0.049452082,-2.574990789,0.0375
-0.148022992,-5.08026415,-0.395759767,-9.805852796,-0.174856525,2.644678055,0.0375
0.994605733,-1.05499721,0.107000143,-10.2519814,0.107478172,0.430000172,0.04
0.040759966,-0.354631057,0.774419887,-10.23149323,0.329091197,0.33529278,0.03
0.572482247,-0.947926949,0.379664673,-9.967086315,0.271498597,-0.890250274,0.0275
0.350739937,2.805916386,0.753418854,-9.294851989,0.486639292,0.508887513,0.05
0.36536168,0.005771316,0.534068926,-9.116968653,0.301653078,0.116606254,0.045
0.397090964,1.361222493,0.249579259,-8.787562795,0.584070257,-0.046785117,0.0475
0.63081642,-0.46143208,-0.314126944,-8.332490609,0.51495541,1.333426965,0.0425
0.2383,1.987552207,0.490766982,-7.849403773,0.658358535,-1.370776533,0.025
-0.070364368,3.477432125,-0.258065227,-7.824186286,0.616532291,0.110184552,0.0175
0.132465961,2.387052636,0.866236078,-7.04385339,0.120622997,-1.470626278,0.0175
-0.054707466,2.140185142,-0.014359021,-7.84185817,0.604969855,1.772246604,0.02
-0.197685025,1.690019797,0.242476083,-7.967029746,0.401958074,0.081064016,0.035
-0.259110018,-0.194093672,-0.059771187,-7.845617473,0.51714854,-0.409568133,0.04
0.192981645,1.165394949,-0.148359946,-8.535922286,0.5055542,2.095137874,0.04
0.213119951,1.085570549,0.585725624,-7.70075872,0.399249585,-1.868834476,0.035
-0.26742812,0.688594078,-0.069760613,-7.669355496,0.283360427,0.443281915,0.0375
0.071395089,1.364986789,0.551843025,-7.447861984,0.470163259,-0.744755741,0.0225
0.365717566,1.130736749,0.454659655,-6.99811235,0.595830958,0.080400117,0.0225
0.230178974,1.078867126,-0.56722701,-6.678698095,0.415659349,1.515700882,0.0175
0.646871566,2.235811011,1.063959969,-6.464865284,0.56474066,-1.014809027,0.0225
0.59013906,1.8243321,0.922488529,-6.440068601,0.435659141,0.204066696,0.0225
0.574895405,1.013833244,0.192693136,-6.132905919,0.166244687,0.877629099,0.0225
-0.14289373,0.187089807,0.382237376,-5.806845035,-0.035531996,1.335805165,0.0275
0.401012932,0.099544078,0.361121035,-6.014835859,0.540257073,0.271949132,0.03
0.46043492,0.393054265,0.079406853,-5.913040612,0.297616428,0.008520027,0.0325
0.147233325,-0.687023647,-0.118592968,-6.042199187,-0.009525261,-0.028574403,0.03
0.52397327,0.011985136,0.247726334,-6.25283125,-0.080048033,0.145087477,0.085
0.201962006,-0.02686436,0.075561844,-5.930344565,0.703937244,-0.441422426,0.0925
0.424397626,0.544253368,0.342302665,-5.974652179,0.27698361,0.145486477,0.0975
0.154182795,0.522783439,0.219641894,-6.487875723,0.52538536,0.532631364,0.1
0.861866151,1.535094736,0.564840847,-5.84517389,0.503954006,0.466177775,0.1625
0.228211447,0.937986765,0.359253692,-5.062440986,0.320904778,0.172348939,0.225
0.220001028,-0.183754547,0.495678988,-5.046661696,0.496117559,0.751797946,0.2875
0.764449533,1.256166426,0.695261886,-5.065377451,0.708309168,0.722340493,0.2875
0.313422896,1.254174932,0.364286699,-5.2454786,0.542374833,0.081833295,0.3525
0.35546684,1.011068522,0.6390327,-5.217555836,0.886586367,-0.631913241,0.4225
0.438708912,0.103481477,0.259096728,-4.986762774,0.328758487,0.939254121,0.4775
0.049155505,-0.023662031,-0.037004609,-4.893656009,0.521257245,-0.055199457,0.5475
0.058129873,1.267739664,0.702444451,-4.845178009,0.304460716,1.932908736,0.6
0.797242862,1.165343288,0.614145507,-22.56967371,0.570495051,-0.382123988,0.605
0.533527015,0.44124316,0.477721932,-15.32937118,0.324922727,-0.240853786,0.6
0.205248943,-0.90770699,0.229111889,-11.51004223,0.408878815,0.856071291,0.4575
